memory.max_usage_in_bytes,input_bam,guide|ref_hist,chromInfo,guide_gff,input_bam_extension,guide|ref_hist_extension,chromInfo_extension,guide_gff_extension,dbkey,rna_strandness,use_guide
659353600,372689034,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
618831872,399852581,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
8120553472,6474720321,495252809,0,0,bam,gtf,nan,nan,rn6,nan,yes
964214784,775730282,0,0,0,bam,nan,nan,nan,dm3,--fr,no
1169735680,980414145,0,0,0,bam,nan,nan,nan,dm3,--fr,no
1057669120,868133711,0,0,0,bam,nan,nan,nan,dm3,--fr,no
3040448512,1496359143,0,0,0,bam,nan,nan,nan,dm3,--fr,no
4694011904,4440526182,24709029,0,0,bam,gff3,nan,nan,?,--fr,yes
5197656064,5135543568,24709029,0,0,bam,gff3,nan,nan,?,--fr,yes
6324297728,2656666164,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
5881430016,2765227178,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
5275049984,2172706330,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
5243527168,2065492450,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
6219268096,2550602159,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
8604655616,5113470255,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
3237011456,5135543568,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
7616233472,4440526182,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
302882816,68206586,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
485605376,209894506,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
384184320,96035630,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
543895552,337379975,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
732602368,444922184,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
698769408,406059399,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
617644032,406168061,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
357687296,98958912,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
450248704,231689666,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
320307200,90817290,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
573362176,308750992,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
617185280,391395533,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
646967296,407820690,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
293208064,60596468,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
451444736,172419385,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
470552576,193291967,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
384290816,170058917,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
434114560,218063214,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
401285120,190895545,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
441896960,224542121,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
5726097408,2636789230,561082307,0,0,bam,gff3,nan,nan,?,--fr,yes
334073856,103186075,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
620789760,412429986,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
335753216,46232323,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
390651904,179444559,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
1484238848,1354109136,0,0,0,bam,nan,nan,nan,dm3,--fr,no
4955725824,4334585947,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
6809616384,6220269235,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
5666435072,5271641956,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
5662654464,5016927901,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
4184395776,4149040209,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
4748828672,4221137311,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
2007130112,1815104897,0,0,0,bam,nan,nan,nan,dm3,--fr,no
1192484864,1001196351,0,0,0,bam,nan,nan,nan,dm3,--fr,no
4457144320,4440526182,24709029,0,0,bam,gff3,nan,nan,?,--fr,yes
4658524160,4334585947,44139005,0,0,bam,gff3,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
4613853184,4149040209,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
393646080,183965498,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
398278656,173678156,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
424550400,201834976,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
464273408,193586504,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
415780864,207478122,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
4655058944,4334585947,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
6189903872,6220269235,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
5515313152,5271641956,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
5176401920,5016927901,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
326873088,103247969,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
4827992064,4149040209,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
4987617280,4221137311,75850624,0,0,bam,gtf,nan,nan,Arabidopsis_thaliana_TAIR10,nan,yes
363380736,73086046,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
446480384,174378921,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
393371648,174797271,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
366596096,156124266,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
411992064,196027704,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
452546560,176545864,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
402538496,203048559,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
389087232,93847984,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
1131278336,675788014,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
1195962368,727993504,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
1185996800,835915038,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
755507200,409300634,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
873435136,539155088,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
958033920,637562901,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
787828736,450317657,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
1014525952,667156852,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
751480832,408550770,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
938348544,618904468,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
867565568,532781130,0,0,0,bam,gtf,nan,nan,hg19,--fr,yes
621359104,464848909,0,0,0,bam,nan,nan,nan,mm10,nan,no
718319616,559846963,0,0,0,bam,nan,nan,nan,mm10,nan,no
492466176,335209743,0,0,0,bam,nan,nan,nan,mm10,nan,no
174710784,21285308,0,0,0,bam,nan,nan,nan,mm10,nan,no
2968731648,2611187020,0,809268,0,bam,nan,len,nan,OilPalm_v1,--fr,no
2865139712,2480332720,0,809268,0,bam,nan,len,nan,OilPalm_v1,--fr,no
869814272,665803104,0,0,0,bam,nan,nan,nan,?,nan,no
737501184,549063701,0,0,0,bam,nan,nan,nan,?,nan,no
806027264,604390394,0,0,0,bam,nan,nan,nan,?,nan,no
910135296,703553122,0,0,0,bam,nan,nan,nan,?,nan,no
852656128,652183535,0,0,0,bam,nan,nan,nan,?,nan,no
935391232,726933266,0,0,0,bam,nan,nan,nan,?,nan,no
878551040,675283762,0,0,0,bam,nan,nan,nan,?,nan,no
903442432,697811617,0,0,0,bam,nan,nan,nan,?,nan,no
915808256,710801210,0,0,0,bam,nan,nan,nan,?,nan,no
